,FCN8,Hough,Image,SLIC
0,0.887505398,0.743637467,1,0.740498143
1,0.61270162,0.602386289,2,0.601332539
2,0.852102068,0.679417671,3,0.762575682
3,0.951277453,0.803869062,4,0.898604903
4,0.897146127,0.968440237,5,0.982093133
5,0.938762814,0.822021949,6,0.971914866
6,0.830342858,0.950202567,7,0.952039358
7,0.909192517,0.626584492,8,0.600907075
8,0.876769559,0.710297232,9,0.724865051
9,0.864633279,0.375471736,10,0.807205126
10,0.929850427,0.223695551,11,0.831396166
11,0.676116903,0.808682424,12,0.57635524
12,0.855983189,0.509129905,13,0.781580182
13,0.974546151,0.92626709,14,0.706159333
14,0.973999988,0.961633227,15,0.123441998
15,0.945116864,0.867900312,16,0.68045027
16,0.577421518,0.122588462,17,0.209341685
17,0.93107871,0.386593108,18,0.571937455
18,0.941038276,0.891721178,19,0.880975507
19,0.823428096,0.922846473,20,0.448011803
20,0.745043191,0.885829607,21,0.71607813
21,0.835137715,0.493904115,22,0.845974756
22,0.853555958,0.381387191,23,0.5444959
23,0.886585012,0.745607592,24,0.722204053
24,0.594165919,0.217480314,25,0.693131788
25,0.629771992,0.589822484,26,0.391435763
26,0.692997516,0.507245944,27,0.266829168
27,0.907918813,0.80346901,28,0.911392246
28,0.337316003,0.302463433,29,0.596709429
29,0.659436965,0.843628795,30,0.738437373
30,0.745504833,0.621359542,31,0.345658801
31,0.969109679,0.933601946,32,0.703479204
32,0.937982013,0.465793431,33,0.560854569
33,0.855271826,0.672027651,34,0.564686415
34,0.92589665,0.306569195,35,0.470762648
35,0.683185321,0.714736985,36,0.485881769
36,0.949682455,0.572402583,37,0.572882767
37,0.718881201,0.716798854,38,0.548800686
38,0.777194524,0.580336144,39,0.368774083
39,0.94259946,0.403374014,40,0.582039425
40,0.934395928,0.626595176,41,0.343767461
41,0.840542348,0.814766157,42,0.824793359
42,0.527919468,0.464150346,43,0.700569395
43,0.947091193,0.891194858,44,0.53896148
44,0.895074287,0.396382747,45,0.863677173
45,0.845876847,0.531242727,46,0.213480817
46,0.544992289,0.460452738,47,0.142241878
47,0.792131285,0.67865782,48,0.482779644
48,0.859434731,0.448805553,49,0.417652818
49,0.826642286,0.59827143,50,0.603721153
50,0.835020082,0.736824061,51,0.283731509
51,0.736933773,0.651246859,52,0.444253001
52,0.896302843,0.655363131,53,0.666707675
53,0.757789488,0.358141822,54,0.563477778
54,0.866857783,0.893697814,55,0.871088202
55,0.458230361,0.22920485,56,0.17029883
56,0.934468522,0.343331169,57,0.64238125
57,0.78106143,0.357681474,58,0.784559406
58,0.978048964,0.42144178,59,0.507318594
59,0.898312587,0.290936564,60,0.6377159
60,0.815871047,0.350941182,61,0.673425507
61,0.805351352,0.677654604,62,0.613592128
62,0.75220932,0.876991396,63,0.285269792
63,0.828454274,0.579826088,64,0.549071032
64,0.914066909,0.837527477,65,0.745845219
65,0.897115126,0.790822239,66,0.441929224
66,0.825366885,0.351966588,67,0.732063715
67,0.751162041,0.318248016,68,0.768885698
68,0.903939927,0.17140445,69,0.58279385
69,0.970912203,0.513968385,70,0.53212933
70,0.901244888,0.284830459,71,0.572098519
71,0.959262142,0.956858458,72,0.486533333
,0.824699076,0.600286857,,0.599569572
